lake_name,climate_var,relation,season,strength,other_drivers,comment
Ayr Lake - varve,uncertain,NA,NA,NA,NA,NA
Big Round Lake - varve,temperature,positive,summer,r = 0.46,NA,NA
Blue Lake - varve,temperature,positive,summer,r2 = 0.31,NA,NA
C2,temperature,positive,summer,NA,NA,association of varve thickness with summer temperature follows Hardy et al. (1996)
Chala - light layer,precipitation,positive,summer,NA,wind,strong relationship with ENSO; thick - light layer layer = La ninia
Chevalier - dark layer,temperature,positive,winter,r = 0.71,snowmelt,r corresponds to nival units
Donard - varve,temperature,positive,summer,r = 0.57,NA,NA
DV09 - varve,temperature,positive,summer,NA,NA,"correlation with instrumental data was weak, but met station is distant"
East Lake - varve,uncertain,NA,NA,NA,snow depth,correlation with many variables was tested; no variable have dominating significance
Elk Lake - varve,uncertain,NA,NA,NA,NA,no information on varve thickness data in the text
Green Lake - varve,hydrological extremes,positive,NA,NA,glacier recession,NA
Holzmaar - varve,temperature,negative,NA,various,precipitation,see jpg for correlations
Hvítárvatn - varve,uncertain,NA,NA,NA,rate of glacia erosion,NA
Iceberg Lake - varve,temperature,positive,summer,weak,lake levels; glacier dynamics,NA
Kuninkaisenlampi - dark layer,uncertain,NA,NA,NA,NA,NA
Kuninkaisenlampi - light layer,hydrological extremes,positive,spring,NA,NA,NA
Kusai - dark layer,wind strength,positive,summer,NA,NA,wind strength is modulated by Siberian High
Kusai - light layer,temperature,positive,summer,NA,NA,NA
Lagoon Etoliko - dark layer,uncertain,NA,NA,NA,productivity,NA
Lagoon Etoliko - light layer,temperature,positive,summer,NA,productivity,NA
Lehmilampi - varve,temperature,negative,NA,NA,erosion,NA
Lower Murray Lake - varve,temperature,positive,summer,NA,NA,NA
Montcortès - light layer,precipitation,positive,autumn,r = 0.428,"temperature, and precipitation in other months",NA
Nar Gölü - dark layer,uncertain,NA,NA,NA,productivity,NA
Nar Gölü - light layer,precipitation,positive,spring,NA,evaporation,NA
Nautajärvi - dark layer,uncertain,NA,NA,NA,NA,NA
Nautajärvi - light layer,precipitation,positive,winter,NA,winter temperature,NA
Oeschinen - varve,precipitation,positive,summer,r = 0.6,NA,NA
Ogac - dark layer,uncertain,NA,NA,NA,NA,a consequence of late summer/fall precipitation as well as of spring/early summer temperature
Ogac - light layer,temperature,positive,summer,uncertain,melting degree days etc.,many variables related to summer thermal conditions can be important; no regression on instrumental data has been done
Plomo - varve,temperature,positive,winter,NA,NA,the lake is glacier fed and depends on amount of material delivered with a meltwater; boreal winter is austral summer!
Sawtooth - varve,temperature,positive,summer,r = 0.16,melting degree-days r = 0.27,NA
Upper Sopper - dark layer,temperature,positive,summer,r = 0.82,NA,NA
Żabińskie - dark layer,uncertain,NA,NA,NA,NA,NA
Żabińskie - light layer,uncertain,NA,NA,NA,NA,NA
